timestamp,exchange,symbol,timeframe,setups,direction,close,volume,atr_pct,high_volatility,mtf_confirmed,score
2026-03-20T06:55:23.183784+00:00,BYBIT,APT/USDT:USDT,3m,rsi_overbought,mixed,1.0197,511578.38,0.4036766113171681,False,False,1
2026-03-20T06:55:23.406873+00:00,BYBIT,APT/USDT:USDT,15m,"bullish_engulfing,rsi_overbought",bullish,1.0197,812679.39,0.7718194726836648,True,True,3
2026-03-20T06:55:23.516349+00:00,BYBIT,APT/USDT:USDT,1h,rsi_overbought,mixed,1.0196,1846627.9,1.3369007074014023,True,True,2
2026-03-20T06:55:26.909749+00:00,BYBIT,ARC/USDT:USDT,15m,bullish_engulfing,bullish,0.04816,420496.0,1.579823166240628,True,True,2
2026-03-20T06:55:27.685486+00:00,BYBIT,ARIA/USDT:USDT,1h,bearish_engulfing,bearish,0.19036,2411807.0,3.9342282814818317,True,True,2
2026-03-20T06:55:27.797559+00:00,BYBIT,ARIA/USDT:USDT,4h,bullish_engulfing,bullish,0.19036,9364734.0,6.748546819654108,True,True,2
2026-03-20T06:55:29.297552+00:00,BYBIT,ARKM/USDT,1h,bearish_engulfing,bearish,0.1095,398317.25,1.0978017968726594,True,True,2
2026-03-20T06:55:30.634328+00:00,BYBIT,ARPA/USDT:USDT,1h,bearish_engulfing,bearish,0.0099,341400.0,0.8254459828126032,True,True,2
2026-03-20T06:55:35.333610+00:00,BYBIT,AT/USDT:USDT,1h,bullish_engulfing,bullish,0.14107,1223829.0,1.287535806632483,True,True,2
2026-03-20T06:55:35.447591+00:00,BYBIT,AT/USDT:USDT,4h,bullish_engulfing,bullish,0.14107,1478395.0,2.640365287153678,True,True,2
2026-03-20T06:55:35.669232+00:00,BYBIT,ATH/USDT,3m,rsi_overbought,mixed,0.00714,2850545.98,0.5595287572367993,True,True,2
2026-03-20T06:55:35.777351+00:00,BYBIT,ATH/USDT,5m,rsi_overbought,mixed,0.00714,2414885.38,0.617199607071567,True,True,2
2026-03-20T06:55:35.911667+00:00,BYBIT,ATH/USDT,15m,rsi_overbought,mixed,0.00714,6934687.76,0.9440306969479855,True,True,2
2026-03-20T06:55:36.155903+00:00,BYBIT,ATH/USDT,4h,bullish_engulfing,bullish,0.00714,53374642.8,4.054711667023452,True,True,2
